year,center,drug_generic,drug_brand,sponsor,modality,target,indication,accelerated,breakthrough,fast_track,priority_review,orphan,first_in_class,nelson_tier,tier_evidence_url,source_url,notes
2025,CDER,dordaviprone,Modeyso,Chimerix,small_molecule,DRD2_ClpP,Diffuse midline glioma harboring H3 K27M mutation with progressive disease following prior therapy,TRUE,,,TRUE,TRUE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-08-06
2025,CDER,doxecitine and doxribtimine,Kygevvi,UCB Pharma,small_molecule,TK2,Thymidine kinase 2 deficiency in patients symptomatic by age 12 or younger,,,,TRUE,TRUE,TRUE,T1,https://www.omim.org/entry/609560,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-11-03
2025,CDER,elamipretide,Forzinity,Stealth BioTherapeutics,peptide,cardiolipin,Improve muscle strength in Barth syndrome patients weighing at least 30 kg,FALSE,FALSE,,TRUE,TRUE,TRUE,T1,https://www.omim.org/entry/302060,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-09-19
2025,CDER,elinzanetant,Lynkuet,Bayer,small_molecule,TACR1_TACR3,Moderate-to-severe vasomotor symptoms due to menopause,FALSE,FALSE,,TRUE,FALSE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-10-24
2025,CDER,etripamil,Cardamyst,Milestone Pharmaceuticals,small_molecule,L_type_calcium_channel,Episodes of paroxysmal supraventricular tachycardia,FALSE,FALSE,,TRUE,FALSE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-12-12
2025,CDER,fitusiran,Qfitlia,Sanofi/Alnylam,oligonucleotide_siRNA,SERPINC1,Prevent or reduce bleeding episodes in hemophilia A or B,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,T1,https://www.omim.org/entry/107300,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-03-28
2025,CDER,garadacimab-gxii,Andembry,CSL Behring,mAb,F12,Prevent attacks of hereditary angioedema,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,T1,https://www.omim.org/entry/106100,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-06-16
2025,CDER,gepotidacin,Blujepa,GSK,small_molecule,DNA_gyrase_topoisomerase_IV,Uncomplicated urinary tract infections,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-03-25
2025,CDER,imlunestrant,Inluriyo,Eli Lilly,small_molecule,ESR1,ER+/HER2-/ESR1-mutated advanced or metastatic breast cancer after prior endocrine therapy,FALSE,FALSE,,TRUE,FALSE,FALSE,T1,https://www.omim.org/entry/133430,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-09-25; nelson:ESR1 activating mutations drive endocrine resistance in ER+ breast cancer
2025,CDER,lerodalcibep-liga,Lerochol,LIB Therapeutics,protein_or_enzyme,PCSK9,Reduce LDL-C in adults with hypercholesterolemia including HeFH as adjunct to diet and exercise,FALSE,FALSE,,TRUE,FALSE,FALSE,T1,https://www.omim.org/entry/607786,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-12-12; nelson:PCSK9 GOF causes autosomal-dominant hypercholesterolemia; LOF protective; canonical T1
2025,CDER,linvoseltamab-gcpt,Lynozyfic,Regeneron,bispecific_mAb,BCMA_CD3,Relapsed or refractory multiple myeloma after >=4 prior lines of therapy,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-07-02
2025,CDER,mirdametinib,Gomekli,SpringWorks Therapeutics,small_molecule,MEK1/MEK2,Neurofibromatosis type 1 with symptomatic plexiform neurofibromas not amenable to complete resection,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,T1,https://www.omim.org/entry/162200,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-02-11
2025,CDER,narsoplimab-wuug,Yartemlea,Omeros,mAb,MASP2,Hematopoietic stem cell transplant-associated thrombotic microangiopathy,FALSE,TRUE,,TRUE,TRUE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-12-23
2025,CDER,nerandomilast,Jascayd,Boehringer Ingelheim,small_molecule,PDE4B,Idiopathic pulmonary fibrosis,FALSE,FALSE,,TRUE,TRUE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-10-07
2025,CDER,nipocalimab-aahu,Imaavy,Johnson & Johnson,mAb,FCGRT,Generalized myasthenia gravis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-04-29
2025,CDER,paltusotine,Palsonify,Crinetics Pharmaceuticals,small_molecule,SSTR2,Acromegaly in adults with inadequate response to or ineligible for surgery,FALSE,FALSE,,TRUE,TRUE,TRUE,T0,https://platform.opentargets.org/target/ENSG00000180616,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-09-25; nelson:SSTR2 receptor overexpressed on NETs; therapeutic targeting; no risk genetics
2025,CDER,pembrolizumab and berahyaluronidase alfa-pmph,Keytruda Qlex,Merck,mAb,PDCD1,Adult and pediatric (12+) solid tumor indications approved for IV pembrolizumab,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,T0,https://platform.opentargets.org/target/ENSG00000188389,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-09-19; nelson:PD-1 checkpoint
2025,CDER,penpulimab-kcqx,penpulimab-kcqx,Akeso/Sino Biopharm,mAb,PDCD1,Recurrent or metastatic non-keratinizing nasopharyngeal carcinoma,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,T0,https://platform.opentargets.org/target/ENSG00000188389,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-04-23; nelson:PD-1 checkpoint
2025,CDER,plozasiran,Redemplo,Arrowhead Pharmaceuticals,oligonucleotide_siRNA,APOC3,Reduce triglycerides in adults with familial chylomicronemia syndrome,,,,TRUE,TRUE,FALSE,T1,https://www.omim.org/entry/144650,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-11-18; nelson:APOC3 LoF human genetics strong; matches TG-lowering effect
2025,CDER,remibrutinib,Rhapsido,Novartis,small_molecule,BTK,Chronic spontaneous urticaria in adults symptomatic despite H1 antihistamine treatment,FALSE,FALSE,,TRUE,FALSE,FALSE,T0,https://platform.opentargets.org/target/ENSG00000010671,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-09-30; nelson:BTK loss causes XLA (immunodeficiency); MCL genetics do not implicate BTK germline
2025,CDER,rilzabrutinib,Wayrilz,Sanofi,small_molecule,BTK,Persistent or chronic immune thrombocytopenia refractory to prior therapy,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,T0,https://platform.opentargets.org/target/ENSG00000010671,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-08-29; nelson:BTK loss causes XLA (immunodeficiency); MCL genetics do not implicate BTK germline
2025,CDER,sebetralstat,Ekterly,KalVista Pharmaceuticals,small_molecule,KLKB1,Acute attacks of hereditary angioedema,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,T1,https://www.omim.org/entry/106100,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-07-03; nelson:SERPING1/F12/KNG1 Mendelian for HAE; kallikrein (KLKB1) is central to bradykinin generation; direction matches
2025,CDER,sepiapterin,Sephience,PTC Therapeutics,small_molecule,PAH,Hyperphenylalaninemia in patients with sepiapterin-responsive phenylketonuria,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,T1,https://www.omim.org/entry/261600,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-07-28; nelson:PAH mutations cause PKU; sapropterin/pegvaliase direction matches
2025,CDER,sevabertinib,Hyrnuo,Bayer,small_molecule,ERBB2,Locally advanced or metastatic non-squamous NSCLC with HER2 tyrosine kinase domain activating mutations after prior systemic therapy,TRUE,,,TRUE,TRUE,FALSE,T2,https://www.omim.org/entry/164870,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-11-19; nelson:Somatic driver
2025,CDER,sibeprenlimab-szsi,Voyxact,Otsuka,mAb,TNFSF13,Reduce proteinuria in primary IgA nephropathy in adults at risk of progression,,,,TRUE,TRUE,TRUE,T3,https://www.ebi.ac.uk/gwas/genes/TNFSF13,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-11-25
2025,CDER,sunvozertinib,Zegfrovy,Dizal Pharmaceutical,small_molecule,EGFR,Locally advanced or metastatic NSCLC with EGFR exon 20 insertion mutations after platinum-based chemotherapy,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,T2,https://www.omim.org/entry/131550,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-07-02; nelson:Somatic driver; direct matched-trait coding evidence
2025,CDER,suzetrigine,Journavx,Vertex Pharmaceuticals,small_molecule,SCN10A,Moderate to severe acute pain,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,T2,https://www.ebi.ac.uk/gwas/genes/SCN10A,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-01-30
2025,CDER,taletrectinib,Ibtrozi,Nuvation Bio,small_molecule,ROS1,Locally advanced or metastatic ROS1-positive NSCLC,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,T2,https://www.omim.org/entry/165020,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-06-11
2025,CDER,telisotuzumab vedotin-tllv,Emrelis,AbbVie,ADC,MET,Locally advanced or metastatic non-squamous NSCLC with high c-Met protein overexpression after prior systemic therapy,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,T0,https://www.omim.org/entry/164860,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-05-14; nelson:Somatic MET alterations drive tumor; germline evidence not causal
2025,CDER,tradipitant,Nereus,Vanda Pharmaceuticals,small_molecule,TACR1,Vomiting associated with motion,FALSE,FALSE,,,FALSE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-12-30
2025,CDER,treosulfan,Grafapex,medac/Medexus,small_molecule,DNA_alkylator,Preparative regimen with fludarabine for allogeneic HSCT in AML and MDS,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-01-21
2025,CDER,vimseltinib,Romvimza,Deciphera Pharmaceuticals,small_molecule,CSF1R,Symptomatic tenosynovial giant cell tumor,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,T4,https://platform.opentargets.org/target/ENSG00000182578,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-02-14; nelson:Axatilimab; CSF1R LoF causes ALSP (leukoencephalopathy) not GVHD
2025,CDER,ziftomenib,Komzifti,Kura Oncology/Kyowa Kirin,small_molecule,MEN1,Relapsed or refractory acute myeloid leukemia with NPM1 mutation,TRUE,TRUE,,TRUE,TRUE,FALSE,T2,https://www.omim.org/entry/164040,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-11-13
2025,CDER,zoliflodacin,Nuzolvence,Innoviva/GARDP,small_molecule,DNA_gyrase,Uncomplicated urogenital gonorrhea due to Neisseria gonorrhoeae,,,TRUE,TRUE,FALSE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-12-12
2025,CDER,zongertinib,Hernexeos,Boehringer Ingelheim,small_molecule,ERBB2,Unresectable or metastatic non-squamous NSCLC with HER2 tyrosine kinase domain activating mutations after prior systemic therapy,TRUE,TRUE,,TRUE,TRUE,FALSE,T2,https://www.omim.org/entry/164870,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-08-08; nelson:Somatic driver
2024,CBER,acellular tissue engineered vessel,Symvess,Humacyte,other_cell_therapy,none (bioengineered vessel scaffold),Vascular trauma in extremities requiring urgent revascularization,,,,,,TRUE,T0,https://www.fda.gov/vaccines-blood-biologics/symvess,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,Acellular tissue engineered vessel (ATEV); mt:Acellular vascular scaffold; no molecular target
2024,CBER,afamitresgene autoleucel,Tecelra,Adaptimmune Therapeutics,other_cell_therapy,MAGE-A4,Advanced synovial sarcoma,,,,,,TRUE,T0,https://platform.opentargets.org/target/ENSG00000147381,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,First engineered T-cell receptor (TCR) therapy approved; nelson:Cancer-testis antigen; TCR therapy; no genetic disease link
2024,CBER,atidarsagene autotemcel,Lenmeldy,Orchard Therapeutics,ex_vivo_gene_therapy,ARSA,Metachromatic leukodystrophy (pre-symptomatic or early symptomatic),,,,,,TRUE,T1,https://www.omim.org/entry/250100,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,Lentiviral ex vivo gene therapy; nelson:Classic Mendelian
2024,CBER,eladocagene exuparvovec-tneq,Kebilidi,PTC Therapeutics,AAV_gene_therapy,DDC,Aromatic L-amino acid decarboxylase (AADC) deficiency,,,,,,TRUE,T1,https://www.omim.org/entry/608643,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,First gene therapy administered directly to the brain; nelson:Eladocagene exuparvovec restores DDC; canonical T1
2024,CBER,fidanacogene elaparvovec-dzkt,Beqvez,Pfizer,AAV_gene_therapy,F9,Hemophilia B (Factor IX deficiency),,,,,,,T1,https://www.omim.org/entry/306900,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,nelson:Classic Mendelian match
2024,CBER,lifileucel,Amtagvi,Iovance Biotherapeutics,TIL,autologous TILs,Unresectable or metastatic melanoma previously treated with PD-1 blockade,,,,,,TRUE,T0,https://www.fda.gov/vaccines-blood-biologics/amtagvi,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,First TIL therapy approved by FDA; mt:Tumor-infiltrating lymphocyte cell therapy; no defined single target
2024,CBER,obecabtagene autoleucel,Aucatzyl,Autolus Therapeutics,CAR_T,CD19,Relapsed or refractory adult B-cell precursor acute lymphoblastic leukemia,,,,,,,T0,https://platform.opentargets.org/target/ENSG00000177455,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,nelson:B-cell lineage marker; CAR-T target not genetically linked to lymphoma
2024,CBER,remestemcel-L-rknd,Ryoncil,Mesoblast,other_cell_therapy,mesenchymal stromal cells (immunomodulation),Steroid-refractory acute graft-versus-host disease in pediatric patients,,,,,,TRUE,T0,https://www.fda.gov/vaccines-blood-biologics/ryoncil,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,First allogeneic MSC therapy approved by FDA; mt:Allogeneic MSC therapy; broad immunomodulation
2024,CDER,acoramidis,Attruby,BridgeBio Pharma,small_molecule,TTR,Transthyretin amyloid cardiomyopathy,FALSE,FALSE,,,,FALSE,T1,https://www.omim.org/entry/176300,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,TTR stabilizer; nelson:TTR variants cause hereditary ATTR amyloidosis; direction matches (loss-of-function/knockdown therapeutic)
2024,CDER,aprocitentan,Tryvio,Idorsia Pharmaceuticals,small_molecule,EDNRA/EDNRB,Resistant hypertension,FALSE,FALSE,,,,FALSE,T2,https://platform.opentargets.org/target/ENSG00000151617,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,Dual endothelin receptor antagonist; nelson:EDN1/EDNRA blood pressure GWAS loci; endothelin pathway supported
2024,CDER,arimoclomol,Miplyffa,Zevra Therapeutics,small_molecule,HSF1,Niemann-Pick disease type C,FALSE,FALSE,,,,TRUE,T4,https://www.omim.org/entry/257220,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,First-in-class heat shock protein co-inducer; orphan; nelson:Disease gene is NPC1/NPC2
2024,CDER,axatilimab,Niktimvo,Incyte/Syndax,mAb,CSF1R,Chronic graft-versus-host disease,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,T4,https://platform.opentargets.org/target/ENSG00000182578,https://pmc.ncbi.nlm.nih.gov/articles/PMC12383571/,Anti-CSF1R monoclonal antibody; nelson:Axatilimab; CSF1R LoF causes ALSP (leukoencephalopathy) not GVHD
2024,CDER,berdazimer,Zelsuvmi,Ligand Pharmaceuticals,small_molecule,nitric oxide release (no defined target),Molluscum contagiosum,FALSE,FALSE,,,,FALSE,T0,https://en.wikipedia.org/wiki/Berdazimer,https://www.fdcell.com/news/fda-novel-drug-therapy-approvals-for-2024.html,Topical nitric-oxide-releasing gel; approved 2024-01-05; mt:MoA in molluscum unknown; NO-releasing topical
2024,CDER,cefepime/enmetazobactam,Exblifep,Allecra Therapeutics,small_molecule,beta-lactamase,Complicated urinary tract infections,FALSE,FALSE,,,,FALSE,T0,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,Cephalosporin + beta-lactamase inhibitor combo; nelson:Target is bacterial enzyme; no human genetics
2024,CDER,ceftobiprole medocaril,Zevtera,Basilea Pharmaceutica,small_molecule,bacterial PBPs,Bloodstream infections/pneumonia/skin infections,FALSE,FALSE,,,,FALSE,T0,https://en.wikipedia.org/wiki/Ceftobiprole,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,Cephalosporin antibiotic; mt:Cephalosporin; targets pathogen penicillin-binding proteins
2024,CDER,concizumab,Alhemo,Novo Nordisk,mAb,TFPI,Hemophilia A or B with inhibitors,FALSE,FALSE,,TRUE,TRUE,FALSE,T4,https://platform.opentargets.org/target/ENSG00000003436,https://pmc.ncbi.nlm.nih.gov/articles/PMC12383571/,Anti-TFPI for hemophilia with inhibitors; nelson:TFPI regulates coagulation; hemophilia is caused by F8/F9 not TFPI; rebalancing therapy
2024,CDER,cosibelimab,Unloxcyt,Checkpoint Therapeutics,mAb,CD274,Cutaneous squamous cell carcinoma,FALSE,FALSE,,,FALSE,FALSE,T0,https://platform.opentargets.org/target/ENSG00000120217,https://pmc.ncbi.nlm.nih.gov/articles/PMC12383571/,Anti-PD-L1; nelson:PD-L1 checkpoint blockade; no cancer-risk genetics
2024,CDER,crinecerfont,Crenessity,Neurocrine Biosciences,small_molecule,CRHR1,Classic congenital adrenal hyperplasia,FALSE,TRUE,,,,TRUE,T4,https://www.omim.org/entry/201910,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,First-in-class CRF1 receptor antagonist; nelson:Disease gene is CYP21A2; symptomatic axis blockade
2024,CDER,crovalimab,Piasky,Genentech (Roche),mAb,C5,Paroxysmal nocturnal hemoglobinuria,FALSE,FALSE,,,TRUE,FALSE,T1,https://www.omim.org/entry/300818,https://pmc.ncbi.nlm.nih.gov/articles/PMC12383571/,Anti-C5 complement inhibitor; nelson:PNH pathophysiology genetically tied to complement; C5 blockade rationale
2024,CDER,danicopan,Voydeya,Alexion Pharmaceuticals,small_molecule,CFD,Extravascular hemolysis in paroxysmal nocturnal hemoglobinuria,TRUE,TRUE,,,,TRUE,T4,https://platform.opentargets.org/target/ENSG00000197766,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,First-in-class factor D inhibitor; nelson:Factor D inhibitor; PIGA is Mendelian PNH gene
2024,CDER,deuruxolitinib,Leqselvi,Sun Pharma,small_molecule,JAK1,Severe alopecia areata,FALSE,TRUE,TRUE,,,FALSE,T2,https://www.opentargets.org/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,JAK1/2 inhibitor; nelson:GWAS-supported pathway
2024,CDER,donanemab,Kisunla,Eli Lilly,mAb,APP,Early symptomatic Alzheimer's disease,FALSE,FALSE,,,FALSE,FALSE,T1,https://www.omim.org/entry/104300,https://pmc.ncbi.nlm.nih.gov/articles/PMC12383571/,Anti-amyloid beta (pyroglutamate) antibody; nelson:APP mutations/duplications cause autosomal-dominant early-onset AD; anti-amyloid direction matches
2024,CDER,elafibranor,Iqirvo,Ipsen,small_molecule,PPARA,Primary biliary cholangitis,TRUE,TRUE,,,,TRUE,T4,https://www.opentargets.org/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,First-in-class dual PPAR alpha/delta agonist; nelson:Related-pathway
2024,CDER,ensartinib,Ensacove,Xcovery Holdings,small_molecule,ALK,ALK-positive non-small cell lung cancer,FALSE,FALSE,,,,FALSE,T0,https://platform.opentargets.org/target/ENSG00000171094,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,ALK inhibitor; nelson:ALK fusions are somatic tumor drivers; Nelson framework is germline; T0 for germline framework
2024,CDER,ensifentrine,Ohtuvayre,Verona Pharma,small_molecule,PDE3/PDE4,Chronic obstructive pulmonary disease,FALSE,FALSE,,,,FALSE,T0,https://platform.opentargets.org/target/ENSG00000172572,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,Dual PDE3/PDE4 inhibitor; nelson:Ensifentrine; no causal PDE3/4 GWAS in COPD
2024,CDER,flurpiridaz F-18,Flyrcado,GE Healthcare,small_molecule,mitochondrial complex I (MC-I),PET imaging of myocardial ischemia/infarction,FALSE,FALSE,,,,FALSE,T0,https://en.wikipedia.org/wiki/Flurpiridaz_(18F),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12577805/,F-18 radiotracer for cardiac PET imaging; mt:PET imaging tracer binding mitochondrial complex I
2024,CDER,givinostat,Duvyzat,Italfarmaco (ITF Therapeutics),small_molecule,HDAC,Duchenne muscular dystrophy,FALSE,FALSE,,,,FALSE,T0,https://platform.opentargets.org/target/ENSG00000116478,https://pmc.ncbi.nlm.nih.gov/articles/PMC12114780/,HDAC inhibitor; nelson:Panobinostat/vorinostat mechanism; not causal genetics
