drug_id,name,ts_cell,ts_animal,approved,present_cell,present_animal,ts_max
336,fedratinib,3,1,True,2.0,2.0,3
337,ferric maltol,0,2,True,1.0,0.0,2
341,golodirsen,1,0,True,2.0,0.0,1
342,imipenem/cilastatin/relebactam,0,0,True,0.0,0.0,0
344,lasmiditan,1,1,True,2.0,2.0,1
345,lefamulin,0,0,True,0.0,1.0,0
346,lemborexant,0,0,True,0.0,3.0,0
347,lumateperone,0,1,True,0.0,2.0,1
348,luspatercept,0,0,True,2.0,3.0,0
350,pexidartinib,0,0,True,0.0,0.0,0
351,pitolisant,3,2,True,0.0,1.0,3
352,polatuzumabvedotinpiiq,0,0,False,0.0,1.0,0
353,prabotulinumtoxina,0,1,False,1.0,2.0,1
354,pretomanid,3,1,True,0.0,0.0,3
355,risankizumab,0,0,True,2.0,2.0,0
356,romosozumab,1,0,True,0.0,0.0,1
357,selinexor,1,0,True,0.0,1.0,1
358,siponimod,1,0,True,2.0,2.0,1
360,tafamidis,1,0,True,0.0,0.0,1
361,tenapanor,1,1,True,0.0,0.0,1
363,trifarotene,3,0,True,2.0,0.0,3
364,ubrogepant,0,0,True,1.0,2.0,0
365,upadacitinib,0,0,True,1.0,2.0,0
366,voxelotor,0,0,True,0.0,0.0,0
367,zanubrutinib,2,0,True,0.0,2.0,2
368,amifampridine,0,0,False,0.0,0.0,0
374,binimetinib,2,0,True,1.0,1.0,2
375,burosumab,0,0,True,0.0,0.0,0
377,cannabidiol,1,0,True,0.0,0.0,1
378,cemiplimab,0,0,True,0.0,1.0,0
379,cenegermin,0,0,True,0.0,0.0,0
380,dacomitinib,2,0,True,0.0,1.0,2
381,doravirine,1,0,True,1.0,0.0,1
382,duvelisib,1,0,True,0.0,0.0,1
383,elagolix,0,0,True,0.0,0.0,0
385,emapalumab,0,0,True,0.0,1.0,0
386,encorafenib,1,0,True,0.0,0.0,1
387,eravacycline,2,2,True,0.0,0.0,2
388,erenumab,0,0,True,0.0,1.0,0
391,fostamatinib,1,0,True,1.0,2.0,1
392,fremanezumab,1,0,True,0.0,2.0,1
393,galcanezumab,0,0,True,0.0,2.0,0
394,gilteritinib,0,0,True,1.0,0.0,0
395,glasdegib,0,0,True,0.0,0.0,0
397,inotersen,0,0,True,0.0,0.0,0
398,ivosidenib,0,0,True,0.0,0.0,0
399,lanadelumab,0,0,True,0.0,0.0,0
401,lofexidine,0,0,True,0.0,1.0,0
402,lorlatinib,1,2,True,1.0,0.0,2
403,lusutrombopag,0,0,True,2.0,2.0,0
409,omadacycline,1,2,True,1.0,2.0,2
410,patisiran,0,0,True,1.0,0.0,0
411,pegvaliase,0,1,True,0.0,2.0,1
412,plazomicin,1,2,True,1.0,2.0,2
413,prucalopride,0,3,True,2.0,0.0,3
414,ravulizumab,0,0,True,0.0,0.0,0
415,revefenacin,0,0,True,1.0,2.0,0
421,tafenoquine,2,3,True,1.0,0.0,3
423,talazoparib,2,2,True,1.0,0.0,2
424,tecovirimat,2,3,True,1.0,2.0,3
425,tezacaftor/ivacaftor,0,0,True,2.0,1.0,0
426,tildrakizumab,0,0,True,1.0,2.0,0
427,axicabtagene ciloleucel,1,1,True,0.0,0.0,1
428,tisagenlecleucel,1,1,True,0.0,2.0,1
430,abaloparatide,0,2,True,1.0,2.0,2
431,abemaciclib,0,0,True,1.0,0.0,0
432,acalabrutinib,2,2,True,2.0,0.0,2
433,angiotensinii,1,2,True,2.0,0.0,2
434,avelumab,0,0,True,2.0,0.0,0
435,benralizumab,3,3,True,1.0,0.0,3
438,brigatinib,2,0,True,0.0,0.0,2
439,brodalumab,0,0,True,0.0,0.0,0
442,deflazacort,0,0,True,1.0,2.0,0
444,dupilumab,0,0,True,2.0,2.0,0
445,durvalumab,0,0,True,0.0,0.0,0
449,etelcalcetide,2,2,True,2.0,2.0,2
450,glecaprevirpibrentasvir,0,0,True,2.0,2.0,0
451,guselkumab,0,0,True,2.0,2.0,0
454,letermovir,1,0,True,3.0,0.0,1
455,macimorelin,1,0,True,0.0,2.0,1
456,meropenemvaborbactam,0,0,True,1.0,0.0,0
457,midostaurin,3,0,True,0.0,0.0,3
458,naldemedine,1,1,True,1.0,3.0,1
459,neratinib,3,2,True,2.0,2.0,3
494,pimavanserin,0,0,True,2.0,2.0,0
500,alectinib,3,2,True,1.0,0.0,3
506,cariprazine,2,2,True,1.0,0.0,2
510,daclatasvir,2,0,True,1.0,0.0,2
514,edoxaban,2,3,True,1.0,3.0,3
518,evolocumab,0,0,True,0.0,1.0,0
520,idarucizumab,1,0,True,0.0,1.0,1
521,insulindegludec,0,0,True,0.0,0.0,0
523,ivabradine,0,0,True,1.0,2.0,0
525,lenvatinib,1,2,True,0.0,0.0,2
528,mepolizumab,0,2,True,1.0,0.0,2
529,necitumumab,0,0,True,0.0,0.0,0
530,osimertinib,0,0,True,0.0,0.0,0
534,patiromer,0,0,True,0.0,2.0,0
536,sacubitrilvalsartan,0,0,True,3.0,3.0,0
538,secukinumab,0,0,True,0.0,0.0,0
539,selexipag,0,2,True,0.0,2.0,2
542,trabectedin,0,1,True,2.0,0.0,1
543,trifluridine/tipiracil,0,2,True,2.0,2.0,2
25059,Cyclophosphamide,0,0,False,0.0,0.0,0
25060,gemcitabine,2,1,False,0.0,0.0,2
25061,Rosuvastatin,1,2,False,1.0,0.0,2
25062,Metformin,1,1,False,1.0,2.0,1
25063,Moxifloxacin,1,2,False,0.0,0.0,2
25064,Matching Placebo,0,0,False,0.0,0.0,0
25065,Nab-paclitaxel,0,0,False,0.0,2.0,0
25066,leucovorin,0,0,False,0.0,2.0,0
25068,IVA,0,0,False,0.0,0.0,0
25069,atorvastatin,0,0,False,0.0,2.0,0
25070,Irinotecan,0,1,False,0.0,1.0,1
25071,BMS-986165,0,0,False,1.0,2.0,0
25072,Warfarin,0,2,False,0.0,0.0,2
25074,Nintedanib,3,2,False,0.0,2.0,3
25075,bendamustine,3,2,False,1.0,0.0,3
25076,vincristine,2,2,False,0.0,0.0,2
25078,Ruxolitinib,3,2,False,2.0,2.0,3
25079,Esomeprazole,3,2,False,0.0,1.0,3
25081,topotecan,3,2,False,0.0,0.0,3
25083,SOF/VEL,0,0,False,0.0,0.0,0
25084,bupropion,2,2,False,0.0,0.0,2
25085,Treatment B,1,2,False,0.0,0.0,2
25086,v114,2,2,False,0.0,0.0,2
25087,alt803,3,2,False,0.0,0.0,3
25088,treatmenta,3,2,False,0.0,0.0,3
25089,CTP-543,1,0,False,0.0,0.0,1
25090,ELX/TEZ/IVA,0,0,False,2.0,0.0,0
25091,radiotherapy,2,2,False,0.0,0.0,2
25092,Treatment C,3,2,False,0.0,0.0,3
25101,vilaprisanbay1002670,0,0,False,1.0,2.0,0
25102,FOLFIRI,2,2,False,0.0,0.0,2
25104,GI-4000,2,2,False,0.0,0.0,2
25105,GI-6301,2,2,False,0.0,0.0,2
25106,ly3502970,0,0,False,0.0,0.0,0
25107,EDP-938,0,0,False,2.0,1.0,0
25108,bi425809,3,2,False,0.0,2.0,3
25109,vinorelbine,3,2,False,0.0,0.0,3
25110,sitravatinib,1,1,False,0.0,0.0,1
25111,CM310,0,0,False,1.0,2.0,0
25112,orforglipron,0,0,False,0.0,0.0,0
25113,Donepezil,3,2,False,0.0,0.0,3
25114,control,0,0,False,0.0,0.0,0
25115,BI 1015550,0,0,False,2.0,3.0,0
25117,MVA-BN-Filo,0,0,False,0.0,2.0,0
25119,BI 1358894,0,0,False,0.0,1.0,0
25120,pf06865571,0,0,False,0.0,0.0,0
25121,Sotagliflozin (SAR439954),0,0,False,0.0,2.0,0
25122,Ruxolitinib cream,0,0,False,1.0,3.0,0
25123,shr0302,1,1,False,2.0,2.0,1
25124,BI 1291583,0,0,False,1.0,1.0,0
25126,PPSV23,0,2,False,0.0,0.0,2
25128,elinzanetantbay3427080,0,0,False,0.0,0.0,0
25129,taf,2,3,False,0.0,0.0,3
25131,ak120,0,0,False,0.0,0.0,0
25132,teziva,0,0,False,2.0,1.0,0
25133,pirfenidone,3,3,False,0.0,2.0,3
25134,Prevnar 13™,1,3,False,0.0,1.0,3
25135,pfspzvaccine,0,0,False,0.0,0.0,0
25136,hsk21542,0,0,False,1.0,2.0,0
25137,Entecavir,3,3,False,0.0,0.0,3
25138,rbv,3,3,False,0.0,0.0,3
25139,idarubicin,3,3,False,0.0,0.0,3
25140,Surgery,1,3,False,0.0,0.0,3
25141,JNJ-73763989,0,0,False,0.0,1.0,0
25142,Active Comparator,1,3,False,0.0,0.0,3
25143,hrs9531injection,0,0,False,0.0,0.0,0
25144,GI-6207,0,0,False,0.0,1.0,0
25145,hank,3,3,False,1.0,0.0,3
25146,BOTOX,0,3,False,1.0,0.0,3
25147,mRNA-1010,0,0,False,0.0,0.0,0
25150,tdf,2,3,False,1.0,0.0,3
25151,LDV/SOF,0,0,False,0.0,0.0,0
25152,LY3209590,0,0,False,1.0,0.0,0
25153,AZD1222,0,0,False,0.0,0.0,0
25155,treatmentd,0,0,False,0.0,0.0,0
25156,dabigatranetexilate,0,0,False,1.0,2.0,0
25160,tacrolimus,3,3,False,0.0,0.0,3
25161,Ad26.COV2.S,0,0,False,0.0,2.0,0
25162,BI 730357,0,0,False,0.0,0.0,0
25163,vx548,0,0,False,1.0,1.0,0
25164,fluvoxamine,0,3,False,0.0,1.0,3
25165,Cabozantinib,3,3,False,0.0,0.0,3
25166,ad26zebov,0,0,False,0.0,1.0,0
25167,v116,0,0,False,0.0,2.0,0
25168,IBI362,0,0,False,0.0,0.0,0
25173,alxn2050,0,0,False,0.0,0.0,0
25175,GSK3640254,0,0,False,1.0,0.0,0
25176,nnc01940499,0,0,False,0.0,1.0,0
25177,mk8527,0,0,False,1.0,0.0,0
25178,sterilenormalsaline09nacl,0,0,False,0.0,0.0,0
25179,Dabrafenib,3,2,False,0.0,0.0,3
25180,SOC,3,1,False,0.0,0.0,3
25181,remimazolamtosilate,0,0,False,0.0,0.0,0
25182,mitoxantrone,2,1,False,0.0,2.0,2
25183,Apatinib,2,1,False,2.0,0.0,2
25184,Amlodipine,2,0,False,0.0,0.0,2
25186,oralsemaglutide,0,0,False,0.0,2.0,0
25188,HTD1801,0,0,False,0.0,2.0,0
25190,AZD4831,0,0,False,0.0,0.0,0
25191,Tofacitinib,2,2,False,1.0,0.0,2
25192,tak659,0,0,False,2.0,2.0,0
25206,Lu AF35700,0,0,False,0.0,2.0,0
25209,moxifloxacin400mg,0,0,False,0.0,0.0,0
25212,intravenousplacebo,0,0,False,0.0,0.0,0
25213,Morphine,0,1,False,1.0,2.0,1
25214,iohexol,0,0,False,2.0,2.0,0
25215,SOF/VEL/VOX,0,0,False,0.0,0.0,0
25216,mtx,2,3,False,0.0,0.0,3
25217,Radiation Therapy,0,0,False,0.0,0.0,0
25219,RZL-012,0,0,False,1.0,2.0,0
25220,tak994,0,0,False,1.0,2.0,0
25221,Triferic,0,0,False,0.0,0.0,0
25222,dtg,2,3,False,1.0,0.0,3
25223,sildenafil,2,2,False,2.0,2.0,2
25224,goserelin,3,0,False,0.0,0.0,3
25225,PF-07081532,0,0,False,0.0,0.0,0
25228,bi690517,0,0,False,0.0,1.0,0
25229,oraxol,0,0,False,0.0,1.0,0
25231,Jaktinib,1,0,False,0.0,0.0,1
25232,BI 1467335,0,0,False,0.0,0.0,0
25235,zx7101a,0,0,False,0.0,0.0,0
25237,Tiotropium,0,1,False,2.0,0.0,1
25239,TAS-102,1,2,False,0.0,2.0,2
25240,en3835,0,0,False,0.0,0.0,0
25241,isatuximabsar650984,0,0,False,2.0,0.0,0
25243,N-803,2,2,False,1.0,2.0,2
25244,Cannabidiol Oral Solution,0,2,False,0.0,0.0,2
25245,SBRT,1,2,False,0.0,2.0,2
25250,bgm0504,0,0,False,0.0,0.0,0
25251,comparator,0,3,False,0.0,0.0,3
25253,BI 754091,0,0,False,2.0,2.0,0
25254,delgocitinibcream,0,0,False,0.0,0.0,0
25258,13-valent pneumococcal conjugate vaccine,1,2,False,0.0,2.0,2
25260,incb054707,0,0,False,0.0,0.0,0
25261,canagliflozin,2,2,False,2.0,2.0,2
25262,zolpidem,0,2,False,0.0,0.0,2
25263,TAK-279,0,0,False,1.0,0.0,0
25264,STP705,0,0,False,1.0,2.0,0
25268,antroquinonol,2,3,False,1.0,1.0,3
25269,Loperamide,3,3,False,0.0,0.0,3
25270,CT1812,1,2,False,1.0,2.0,2
25271,BI 836880,0,0,False,1.0,2.0,0
25273,nktr214,0,0,False,1.0,2.0,0
25275,Bupivacaine HCl,1,3,False,0.0,2.0,3
25277,13vpnc,1,3,False,0.0,0.0,3
25279,ALKS 5461,0,3,False,0.0,2.0,3
25283,LUM/IVA,0,0,False,3.0,0.0,0
25284,LY3451838,0,0,False,0.0,0.0,0
25285,tozorakimab,0,0,False,1.0,0.0,0
25288,CMP-001,0,0,False,2.0,2.0,0
25289,lcz696,0,3,False,2.0,3.0,3
25290,ombitasvirparitaprevirritonaviranddasabuvir,0,0,False,0.0,0.0,0
25293,Dolutegravir,1,2,False,0.0,0.0,2
25295,ModraDoc006/r,0,1,False,0.0,0.0,1
25297,axs05,0,0,False,0.0,0.0,0
25298,enlicitide,0,0,False,0.0,0.0,0
25299,VIR-2218,0,0,False,1.0,1.0,0
25300,Oral Placebo,1,3,False,0.0,0.0,3
25302,hbadmscs,0,0,False,0.0,0.0,0
25303,S-1,0,1,False,0.0,0.0,1
25304,influenzavaccine,0,0,False,3.0,0.0,0
25305,c21,0,0,False,0.0,0.0,0
25306,FTC/TDF,0,0,False,0.0,2.0,0
25309,tramadol,1,2,False,1.0,0.0,2
25310,jzp110,0,0,False,1.0,2.0,0
25311,ferriccarboxymaltose,1,0,False,1.0,1.0,1
25312,Tenofovir disoproxil,0,0,False,1.0,0.0,0
25313,mk4830,0,0,False,0.0,0.0,0
25316,bbi503,0,0,False,1.0,0.0,0
25317,cc486,0,0,False,0.0,0.0,0
25319,NGM621,0,0,False,0.0,0.0,0
25320,Ezetimibe 10mg,0,0,False,0.0,1.0,0
25321,mFOLFOX6,0,0,False,0.0,0.0,0
25322,alks3831,0,0,False,0.0,1.0,0
25324,Dihydroergotamine,0,1,False,1.0,2.0,1
25325,radiation,0,0,False,0.0,0.0,0
25326,cin107,0,0,False,0.0,0.0,0
25327,Baxdrostat,0,0,False,0.0,0.0,0
25328,SAR443820,0,0,False,0.0,0.0,0
25331,Levothyroxine,0,0,False,0.0,0.0,0
25332,KBL697,0,0,False,0.0,2.0,0
25333,nt201,0,0,False,0.0,0.0,0
25334,Pravastatin,0,1,False,1.0,0.0,1
25335,Iclepertin,0,0,False,0.0,0.0,0
25336,rel1017,0,0,False,0.0,0.0,0
25338,Alcohol,1,0,False,0.0,0.0,1
25340,tpn171h,0,0,False,0.0,3.0,0
25342,Estradiol/norethindrone acetate,0,0,False,0.0,0.0,0
