pmid,year
35377938,2022
32778093,2020
21833088,2011
31740666,2019
34719683,2022
38328521,2023
20935629,2010
34459509,2021
30108127,2018
28739976,2017
28540026,2017
22228203,2012
21383967,2011
36800424,2023
37596262,2023
20884846,2010
34993496,2022
35050183,2022
40205036,2025
41266372,2025
30476138,2019
38477772,2024
31089142,2019
31339356,2019
26416764,2015
40545721,2025
31719529,2019
35803233,2022
29093273,2017
33859377,2021
39792054,2025
36940203,2023
32917775,2020
25811787,2015
30194396,2018
20190752,2010
37017090,2023
32024964,2020
33545615,2021
41022758,2025
29771307,2018
41688637,2026
34437536,2021
34054130,2021
36411363,2022
41444482,2025
34924174,2022
35654975,2022
27618447,2016
34159505,2022
36187959,2022
29895819,2018
35459240,2022
36281732,2023
34107879,2021
31740837,2019
37947095,2023
25224454,2015
34376796,2022
32599975,2020
38180560,2024
30664634,2019
25751624,2015
23548203,2013
26301688,2015
33983923,2021
27992413,2017
38685053,2024
38062574,2024
37859345,2024
31231134,2019
28452372,2017
39930085,2025
23903356,2013
20150558,2010
40164604,2025
37604819,2023
23017229,2012
31624269,2019
29899525,2018
35729236,2022
24647736,2014
29198719,2017
23830517,2013
34847940,2021
21909115,2011
32835660,2021
35264221,2022
32963334,2021
34104963,2021
39040048,2024
38278947,2024
30336701,2019
35245370,2022
35213538,2022
32060260,2020
41068259,2025
36244801,2023
22544366,2012
32603359,2020
30664745,2019
21060863,2010
36662838,2023
23273568,2013
24001895,2013
37337106,2023
29769613,2018
35922433,2022
37919891,2024
33455090,2021
30152087,2018
41456820,2026
38286188,2024
24952745,2014
21804548,2011
29907492,2018
34343768,2021
22976474,2012
39242605,2024
34859065,2021
37973980,2023
33495596,2021
40325049,2025
30487518,2018
32150548,2020
35922517,2022
33832965,2021
30220432,2018
40633141,2025
20881960,2010
21297633,2011
32514006,2020
36525587,2023
29942085,2018
32317632,2020
33580673,2021
31710517,2020
24963161,2014
24047826,2013
21768215,2011
38199299,2024
22291609,2012
30217807,2018
31059154,2019
28081371,2017
40968291,2025
41963194,2026
32247823,2020
20541252,2010
23022100,2012
31882771,2019
35386719,2022
31361310,2019
29942086,2018
19300499,2009
32499647,2020
30617256,2019
39753749,2025
26691988,2016
38296975,2024
22895189,2012
37523193,2024
19744961,2009
38632388,2024
39192095,2024
27171184,2016
28762467,2018
35168826,2022
34290314,2021
30843173,2019
39746953,2025
35915169,2022
38182742,2024
40187613,2025
25918132,2015
35315439,2022
28937693,2017
35977952,2022
34014839,2021
37282553,2023
35227251,2022
32203549,2020
24861553,2014
29379196,2018
28869591,2017
30586737,2019
39794498,2025
32581359,2020
32888494,2020
29326435,2019
25056061,2014
28604731,2017
39663699,2025
32296059,2020
37248441,2023
20139977,2010
39972214,2025
39379762,2024
22672568,2012
26424050,2015
42066438,2026
34274964,2021
35132056,2022
24292274,2014
41057643,2026
39537608,2024
32888493,2020
31959995,2020
29615537,2018
34910505,2021
25457201,2015
23824729,2013
23696099,2013
30583557,2018
34099189,2022
39749473,2025
31719535,2019
30659259,2019
32602732,2020
42173832,2026
37798380,2023
25920553,2016
37126556,2023
26284813,2015
31906708,2020
29743933,2018
36271874,2022
35710981,2022
35637384,2022
29892015,2018
38448586,2024
17767159,2007
28753643,2017
20596022,2010
35313970,2022
31213470,2019
25961943,2015
38640244,2024
28166213,2017
36975205,2023
19278955,2009
35132965,2022
19330030,2009
28495826,2017
29769521,2018
39078117,2024
26293465,2015
20453842,2010
36939796,2023
34202464,2021
29304378,2018
28394258,2017
37198478,2023
36568976,2022
39998322,2025
25625282,2015
37277458,2023
32939015,2021
39500877,2024
29662168,2018
36349687,2023
27650483,2017
28453575,2017
38616254,2024
32289280,2020
19430483,2009
26051272,2015
25935875,2015
22075249,2012
28448500,2017
35368020,2022
35124268,2022
35835914,2022
38425181,2024
37398645,2023
30054458,2018
33848412,2022
41686896,2026
41206123,2025
36233190,2022
22456796,2012
38532495,2024
22306652,2012
33382404,2021
37985822,2023
38233393,2024
42265418,2026
33462485,2021
32884031,2020
30239722,2019
30670697,2019
41310232,2025
33045005,2020
28898252,2017
19503088,2009
30823506,2019
33293549,2020
35347246,2022
39715877,2025
19430480,2009
35241825,2022
39251599,2024
28107422,2017
31869403,2019
25129146,2014
32084209,2020
30718926,2019
39885687,2025
30595370,2019
38561338,2024
30940813,2019
31262040,2019
27354352,2016
39789286,2025
22703881,2012
20081857,2010
22968431,2012
33293427,2021
21804549,2011
27903959,2017
31451708,2019
38201907,2023
38858783,2024
37636041,2023
37248299,2023
31578528,2019
31530331,2020
37500982,2023
31996736,2020
30061737,2018
27089181,2016
38849413,2024
35210625,2022
40922984,2025
31511532,2019
35727948,2023
30429480,2018
21076409,2010
33095540,2021
27286809,2016
31969989,2020
31501611,2019
29507422,2018
37106081,2023
35267517,2022
34873335,2021
37965154,2023
17529967,2007
23823483,2013
27182965,2016
41482248,2026
30593698,2019
32709000,2020
33414548,2021
40796918,2025
34777790,2021
39511132,2024
39048560,2024
40069456,2025
21909109,2011
42221328,2026
23563607,2013
35505052,2022
33385171,2021
26606652,2016
27643478,2016
37033223,2023
21886157,2011
30598549,2019
40436827,2025
23362303,2013
26908601,2016
37377963,2023
39574169,2025
32989287,2021
20529992,2010
27329760,2016
31754094,2019
36329257,2022
23233662,2013
37684235,2023
26853712,2016
23043469,2013
38507016,2024
21044948,2011
26635082,2015
38745123,2024
21785125,2011
25673413,2015
36180795,2022
20972438,2010
31662442,2019
17554300,2007
37029353,2023
20031576,2009
37105979,2023
36653681,2023
19648918,2009
22190364,2011
30423114,2019
29500382,2018
35110524,2022
34651315,2022
24094242,2013
32469254,2020
38671141,2024
39444160,2025
35046404,2022
33239738,2020
28272467,2017
37359372,2023
33338681,2021
38018286,2024
36753304,2023
31666285,2020
34982741,2022
23535733,2013
23544013,2013
33307546,2021
19567438,2009
23817571,2013
36089080,2023
35361970,2022
37101235,2023
30837455,2019
35047847,2022
33500527,2021
21980494,2011
38177345,2024
38795312,2024
29292387,2018
37705021,2023
36301540,2022
31021400,2019
29739929,2018
34684344,2021
35132194,2022
38297123,2024
36220816,2022
23267103,2013
30504769,2018
35022648,2022
30048462,2018
34224794,2021
35773277,2022
24554482,2014
34887591,2021
33356394,2021
36050321,2022
38671320,2024
33430853,2021
25327703,2014
36137488,2022
37365321,2023
41350255,2025
30271922,2018
22197929,2011
21533024,2011
36140721,2022
33037222,2020
40097784,2025
22443383,2012
25187374,2015
34469433,2021
32439431,2021
21878437,2011
17903295,2007
30718901,2019
38773065,2024
28082259,2017
29785011,2018
39361370,2024
33177712,2020
32918910,2020
39192244,2024
23056639,2012
28892062,2017
29127183,2018
30801552,2019
30804561,2019
32641083,2020
29617998,2018
29397368,2018
40220762,2025
31841133,2020
23408906,2013
40569436,2025
40796553,2025
25903422,2015
26160806,2015
33563987,2021
35022708,2022
37156999,2023
18193044,2008
23341777,2013
37985818,2023
37429843,2023
25772935,2015
23612905,2013
30013184,2018
35819321,2022
30275531,2018
37402774,2023
38352709,2024
38981621,2024
19060906,2009
31217584,2019
25646370,2016
31251759,2019
41824406,2026
38116117,2023
21572416,2011
38154582,2024
29234017,2017
37492417,2023
24493630,2014
36566681,2023
31636271,2019
34469753,2021
25372704,2014
34791234,2022
42225636,2026
19801982,2009
23793025,2013
28073927,2017
37400433,2023
24586186,2014
33578652,2021
28348047,2017
37390107,2023
18849991,2008
38789058,2024
37563310,2023
32769997,2020
21646302,2011
36168886,2023
37669986,2023
30979435,2019
33980691,2021
28333968,2017
31816047,2020
29212778,2018
25231870,2014
39875632,2025
33288918,2021
34734193,2021
28915241,2017
27736895,2016
25751625,2015
35385482,2022
31358974,2019
26343387,2015
23139255,2012
28445677,2017
40795387,2025
38580839,2024
34012112,2021
32139696,2020
35399580,2022
19901119,2009
22144915,2011
35039627,2022
33634981,2021
34814699,2022
39644095,2025
27089180,2016
38036781,2023
34852423,2021
20183929,2010
22610502,2012
32541925,2020
34272381,2021
34857772,2021
25352340,2014
32887889,2020
38832928,2024
41477839,2026
30166351,2018
37108169,2023
22558069,2012
29855537,2018
35023831,2022
25575512,2015
19729612,2009
28334814,2017
31902109,2020
31409800,2019
19430479,2009
18604267,2008
35652242,2022
21572414,2011
26414677,2015
40050429,2025
35848942,2022
25826619,2015
34785669,2021
42017308,2026
20147318,2010
36726022,2023
18587394,2008
31155012,2020
21399633,2011
31488892,2020
35768473,2022
34294844,2021
20686565,2010
37709864,2023
27918536,2017
40883583,2025
34852643,2022
40465716,2025
24509480,2014
30999091,2019
29058716,2017
26379185,2015
17558408,2007
38438384,2024
31676860,2019
31174203,2019
28067908,2017
31217265,2019
32231278,2020
31679650,2019
39966646,2025
40021644,2025
35278270,2022
37572794,2023
29970889,2018
28011710,2017
42243103,2026
37250466,2023
29273593,2018
27036123,2016
23455636,2013
33002439,2020
19060911,2009
32066700,2020
40963118,2025
37380357,2024
32198502,2020
24941225,2014
24777453,2014
28598434,2017
28360221,2017
20860503,2010
31080455,2019
33536631,2021
36240095,2022
33547301,2021
37464041,2023
36171425,2022
29691431,2018
30573655,2019
18193043,2008
42237039,2026
38747976,2024
22286212,2012
34855049,2022
31473137,2019
30679032,2019
36856146,2023
33794208,2021
31969693,2020
35489115,2022
31589552,2019
22344219,2012
29662059,2018
31271701,2019
32492067,2020
34673960,2022
35013273,2022
21658281,2011
35879402,2022
35870639,2022
19219042,2009
33097703,2020
33517400,2021
35104449,2022
33589840,2021
36376028,2023
29422604,2018
31319653,2019
31320639,2019
35094092,2022
29700475,2018
39301620,2024
42190866,2026
35530816,2022
28991256,2017
40307439,2025
40021830,2025
39927731,2025
37210288,2023
30867560,2020
40823175,2025
23603761,2013
35164939,2022
38063329,2023
27898682,2016
38538606,2024
35538205,2022
27897004,2017
25340798,2014
18940312,2008
41238566,2025
26965516,2016
23222517,2012
34270706,2021
28714975,2017
30573740,2018
37851288,2024
38190104,2024
34594039,2021
34754074,2021
26352407,2015
35368071,2022
32527199,2020
30804565,2019
33574239,2021
33887194,2021
24097068,2013
35366586,2022
18391951,2008
32963231,2020
36378351,2023
33031748,2020
37492107,2023
40335489,2025
27989323,2017
33773637,2021
21606135,2011
32964493,2021
31636452,2019
41565855,2026
30910378,2019
34006833,2021
28552196,2017
41703085,2026
30578418,2019
26732621,2016
23749187,2013
19198610,2009
37612147,2023
20833655,2010
35079123,2022
30929738,2019
39349682,2024
23381795,2013
19305408,2009
29403010,2018
26910538,2016
25552591,2015
37365406,2023
34033851,2021
33766948,2021
41066301,2025
39885523,2025
22037551,2011
24163127,2014
20031577,2009
22504420,2012
22399527,2012
28886342,2017
35285134,2022
41213931,2025
34187846,2022
37212302,2023
35888728,2022
39024449,2024
31900758,2020
29235454,2017
32785646,2021
36502284,2023
27863252,2016
30926973,2019
34077760,2021
34059833,2021
26192919,2015
34620218,2021
21131975,2011
19198609,2009
26912274,2016
21386085,2011
31518406,2019
29458411,2018
37340002,2023
37277652,2023
25305756,2014
30111768,2018
30281099,2019
29313844,2017
38372780,2024
35668104,2022
33495599,2021
28031287,2017
30604766,2019
37019578,2023
28298293,2017
35222515,2021
35446786,2022
23128233,2012
36344522,2022
32339537,2020
22829776,2012
30698716,2019
33888907,2021
28373541,2017
31519223,2019
35414113,2022
21665993,2011
31649266,2019
35893037,2022
37619450,2023
38382466,2024
29160300,2018
32928877,2021
23143596,2012
27618448,2016
34127677,2021
38882679,2024
21300955,2011
36376295,2022
36292730,2022
25310821,2014
38541061,2024
30510157,2018
31985003,2020
29622589,2018
27702942,2016
41619350,2026
35389749,2022
34338756,2021
29559693,2018
37841410,2023
23281178,2013
31326317,2019
33861876,2021
37156939,2023
34426668,2021
24023260,2013
30891314,2019
28017375,2017
33730874,2021
34503513,2021
29760442,2018
41748903,2026
32929287,2020
27976721,2016
31660654,2019
30374069,2018
32619740,2020
36808568,2023
31566214,2020
27723757,2016
41188267,2025
36653477,2023
41353206,2025
33082346,2020
25429064,2015
31801373,2020
39528825,2024
41419685,2026
37337107,2023
23463857,2013
24204828,2013
21208937,2011
33972514,2021
34791242,2022
37386247,2023
34654805,2021
30921485,2019
35577104,2022
17637780,2007
38836758,2024
35332118,2022
31729369,2019
30837465,2019
35396452,2022
34535985,2022
30348214,2018
34590679,2022
37550455,2023
32047268,2020
25064009,2014
37985413,2024
31926635,2020
23583979,2013
23202124,2013
36996866,2023
35264675,2022
35764056,2022
42000752,2026
29844224,2018
18084291,2008
27532455,2016
24430505,2014
23216389,2013
36246171,2022
41661118,2026
35810165,2022
38335777,2024
37845353,2023
19196962,2009
33020668,2020
33339817,2020
23396134,2013
20526338,2010
36277789,2022
35793639,2022
23583980,2013
25342443,2014
34226706,2021
22032556,2011
23263489,2013
40299299,2025
35915156,2022
34239500,2021
30679814,2019
28443625,2017
34536413,2021
22949513,2012
29296746,2017
24390342,2014
22423221,2012
28757204,2017
42152146,2026
38734017,2024
31097437,2020
28369058,2017
31413261,2019
37188663,2023
41197642,2026
31484785,2019
19084217,2009
37615194,2023
29455858,2018
23989729,2013
36777996,2022
20835238,2010
33462484,2021
31285632,2019
34542150,2022
19287384,2009
38763176,2024
33402679,2021
32517579,2020
24026423,2014
29151059,2018
32226016,2020
32528159,2020
33055079,2021
28240269,2017
21060860,2010
26486471,2016
38869630,2024
28135244,2017
39753034,2025
30643258,2019
35760791,2022
29230059,2018
38609424,2024
34523676,2022
27723756,2016
30643256,2019
36474045,2022
30642921,2019
21700618,2011
42072355,2026
34729928,2022
30281874,2018
40164586,2025
37096546,2023
40208988,2025
27997041,2017
26752265,2016
35589863,2022
22885925,2012
38837026,2024
37156940,2023
31919418,2020
30575882,2018
29743610,2018
20383146,2010
34265127,2021
40764432,2025
32152699,2020
38658550,2024
41184235,2025
35120996,2022
30297969,2018
30166627,2018
31376382,2020
26974007,2016
24507774,2014
33199917,2020
30104761,2018
24625756,2014
20453838,2010
38036550,2023
25561047,2015
29325163,2018
33349686,2021
37524825,2023
41419686,2026
37038246,2023
34968759,2022
28346443,2017
38470220,2024
38867047,2024
29422769,2018
26838040,2016
28512139,2017
37285119,2023
33961016,2021
19305409,2009
39232002,2024
27595289,2017
27416945,2016
28112199,2017
31584380,2020
32752121,2020
36327221,2022
29385134,2018
20303064,2010
23544012,2013
35589828,2022
23143594,2012
21502573,2011
21909110,2011
25086665,2014
36762574,2023
33227023,2020
37426090,2023
21665994,2011
38849341,2024
31689377,2020
38964323,2024
30846698,2019
36515925,2023
38102678,2023
30382898,2018
30383316,2018
32109421,2020
25854761,2015
38663478,2024
18445777,2008
41233554,2025
35368043,2022
27680694,2016
38064665,2024
28928442,2017
33283231,2021
36750564,2023
23726366,2013
41466414,2025
36581621,2022
40155373,2025
34951656,2022
29632382,2018
36653354,2023
41058576,2025
35351958,2022
20418890,2010
33723403,2021
39023044,2024
32242144,2020
27798624,2016
34925446,2021
37560908,2024
34737426,2021
31998841,2020
34532061,2021
36757925,2023
37167549,2023
28270201,2017
32352494,2020
28714469,2017
29917119,2019
35945198,2022
37198259,2023
23263486,2013
19465909,2009
41206923,2025
34018994,2021
21685912,2011
28754779,2018
32492095,2020
39349817,2024
25608926,2015
33418499,2021
26626624,2015
39854466,2025
39277575,2024
31959851,2020
33559384,2021
32386560,2020
32805626,2020
31171785,2019
39152475,2024
35393526,2022
17529973,2007
37471560,2023
25918517,2015
35935937,2022
29874175,2018
29255261,2018
31879980,2020
34989438,2022
34046847,2021
36071172,2022
42178310,2026
22286173,2012
28869590,2017
26198764,2015
39883516,2024
37079309,2023
31837886,2020
25631615,2015
39389019,2024
25849990,2015
25282103,2014
38637617,2024
18439548,2008
26502338,2015
18245381,2008
26068415,2015
32556615,2020
23251661,2012
31761296,2019
37932435,2023
29227965,2017
34610981,2021
36224396,2022
39266554,2024
31844061,2019
38534778,2024
22751097,2012
34321204,2021
39091897,2024
31910446,2020
33328473,2020
31151762,2019
36575460,2022
40841581,2025
29146897,2017
31844048,2019
22057235,2011
35838494,2022
35964923,2023
26394188,2015
37253714,2023
36768488,2023
24564958,2014
20231535,2010
38200128,2024
36477530,2022
30038396,2018
36914875,2023
28199695,2017
34169730,2021
37770476,2023
33583074,2021
36893272,2023
32041948,2020
36764567,2023
35379992,2022
34553764,2022
32558485,2020
33763119,2021
23717212,2013
33608531,2021
36653343,2023
27539887,2016
25279986,2014
22916037,2012
33627673,2021
42097137,2026
39280063,2023
33888516,2021
31675503,2019
31841498,2019
39256582,2024
24532676,2015
40229599,2025
35507331,2022
35762941,2022
41558814,2026
37794016,2023
26663301,2016
27454463,2016
36635386,2023
20066004,2010
37777856,2023
32981348,2020
23381943,2013
32600054,2020
36273105,2022
32961594,2021
37633302,2023
39643614,2024
36973338,2023
23291589,2013
33893285,2021
29494758,2018
30572963,2018
20081858,2010
34282934,2021
20410501,2010
24850809,2014
37479695,2023
40537477,2025
27022141,2016
38493369,2024
31666681,2021
21378988,2011
36819030,2023
34021172,2021
26129866,2016
35126453,2021
37644460,2023
37127109,2023
26417704,2015
36929942,2023
32665545,2020
21263130,2011
30012220,2018
25963972,2015
26394269,2015
32005708,2020
30718733,2019
30510241,2019
42236496,2026
32889700,2021
33623009,2021
31757997,2019
34743558,2022
37164013,2023
34111113,2021
24162737,2013
37704630,2023
38565336,2024
38182794,2024
36329495,2022
37828025,2023
21779176,2011
27527254,2016
23118916,2012
33589841,2021
35501403,2022
28604728,2017
34216518,2021
38747556,2024
28139693,2017
26272126,2015
41792138,2026
27656708,2016
21666692,2011
32561361,2020
21829393,2011
31562340,2019
36921087,2023
29381699,2018
36914876,2023
34025683,2021
32314116,2020
35255492,2022
30566500,2018
23266558,2013
36269708,2022
27399966,2016
31972866,2020
41922918,2026
32238385,2020
35692035,2022
22493691,2012
30002152,2018
31014085,2019
33686288,2021
37679419,2023
21239051,2011
36282123,
34560273,2021
30093612,2018
34601942,2021
34237774,2021
32376654,2020
40262193,2025
32141789,2019
21841780,2011
41644669,2026
36797040,2023
37872160,2023
26733130,2016
26708676,2016
23535729,2013
32066663,2020
37626805,2023
25407941,2014
23886662,2013
23093944,2012
32193507,2020
26831199,2016
29084231,2017
29632305,2018
38300190,2024
25607358,2015
31235808,2019
23300138,2014
34099642,2021
26561523,2016
27067015,2016
36792583,2023
33547071,2021
42302930,2026
37945807,2024
26732560,2016
37979250,2024
29844566,2018
33169155,2021
39747571,2025
40374629,2025
29808027,2018
39543113,2024
27841878,2017
32193296,2020
41688638,2026
31220337,2019
30531825,2018
37963177,2023
35647563,2022
32678081,2020
18454146,2008
37587338,2023
25898920,2016
38839884,2024
23160099,2012
19079262,2009
32358547,2020
37867527,2023
37076872,2023
42092107,2026
31465739,2020
18802019,2008
36922633,2024
26956414,2016
29358691,2018
26174136,2015
36889626,2023
33310728,2021
35393509,2022
39547589,2025
40181193,2025
35086473,2022
36653479,2023
26151821,2015
34108613,2021
19503597,2009
31066027,2019
35546142,2022
22922229,2012
30072576,2018
25035420,2014
32193382,2020
34899825,2021
41314110,2025
35393595,2022
41298473,2025
33887147,2021
22344221,2012
32390946,2020
25972531,2015
29785010,2018
20062061,2010
38172110,2024
37164063,2023
41629584,2026
35381062,2022
25249183,2015
38701081,2024
40216741,2025
32171239,2020
28158719,2017
18650507,2008
34426670,2022
26818947,2016
28100725,2017
38725839,2024
32589924,2020
40050615,2025
38250258,2023
34732054,2021
19862010,2009
32632093,2020
38200081,2024
31681408,2019
35882562,2023
32341051,2020
24388013,2014
20018918,2010
23770605,2013
39080267,2024
27694959,2016
34613391,2022
26926045,2016
38155330,2024
25574825,2015
37209533,2023
35551307,2022
29782485,2018
36496446,2022
36451823,2022
28892059,2017
38484975,2024
41077127,2026
39134668,2024
20208534,2010
39753771,2025
31708768,2019
33713608,2021
34127860,2021
27599772,2017
31374203,2019
29293537,2018
32450446,2020
27117709,2016
31982041,2020
39406924,2024
22001757,2011
42062297,2026
23872634,2013
29499414,2018
31168069,2020
20657596,2010
35652341,2022
22139419,2011
34454985,2022
22331829,2012
36867504,2023
25017104,2014
30181555,2018
30031151,2019
33414549,2021
31628463,2020
28628107,2017
35347128,2022
30046033,2018
28537267,2017
30617275,2020
34187551,2021
29186694,2017
33398198,2021
36759515,2023
29124443,2018
35771237,2022
28566273,2017
36154123,2022
35653334,2022
40835619,2025
24165912,2013
33106845,2021
25173106,2014
21829377,2011
30552067,2019
33345186,2020
41044249,2025
34783190,2022
33592630,2021
33482370,2021
26701879,2017
35470158,2022
36750733,2023
34749984,2022
32451486,2020
36584111,2022
23297363,2013
31420334,2019
38491158,2024
29453196,2018
39141363,2024
27412012,2016
27798627,2016
34668383,2021
38904754,2024
27588450,2016
39702642,2024
36402844,2022
34813871,2022
22387998,2012
31109976,2019
32473944,2020
30395268,2018
36974753,2023
26443449,2015
31604244,2019
22075330,2012
30778226,2019
27659466,2016
36395887,2022
29317602,2018
35186008,2021
37945903,2023
38049662,2024
19936222,2009
25628336,2015
38632349,2024
36207451,2022
34417442,2021
40341939,2025
20558539,2010
36192519,2022
28416818,2017
27225129,2016
17554261,2007
34563731,2021
30696823,2019
35585065,2022
38870908,2024
35902682,2022
32895543,2021
26426971,2015
34431594,2021
26582766,2016
29878111,2018
31798171,2019
25705159,2014
35995766,2022
33842983,2021
28334899,2017
34648354,2021
38741014,2024
19079260,2009
21102462,2010
28373160,2017
30388399,2018
33057200,2020
31219150,2019
36450729,2022
36944631,2023
36614910,2022
30134952,2018
30531941,2018
31527586,2019
38453145,2024
25862617,2016
34255042,2021
33816493,2021
37294764,2023
27329260,2016
24076602,2013
40759756,2025
38875006,2024
29892016,2018
23505323,2013
39214992,2024
32514122,2020
25208887,2014
37919453,2023
39537604,2024
33510476,2021
30975718,2019
33821002,2021
34446935,2021
39891803,2025
27519822,2017
36208799,2022
31268507,2019
31959922,2020
31046077,2019
30054594,2018
21347284,2011
34427645,2022
31928498,2020
27797806,2016
38072966,2023
34604815,2021
31630189,2019
37264206,2023
31835028,2019
33104735,2020
20195266,2011
37002690,2023
24262325,2014
33097823,2020
37085903,2023
18464913,2008
31407831,2019
32154731,2020
37787550,2023
21573004,2011
20418485,2010
34315874,2021
36150907,2023
40645996,2025
30289880,2018
23754948,2013
25208829,2014
31619474,2019
24586183,2014
36261456,2022
36848389,2023
23650146,2013
28957414,2017
29891935,2018
36333501,2022
30174134,2018
34349265,2021
22747683,2012
20935630,2010
25673412,2015
33393726,2021
33128006,2020
32042192,2020
25147954,2014
20953190,2010
35613103,2022
38689001,2024
35552711,2022
22683712,2012
38374256,2024
37069358,2023
25743335,2015
38626723,2024
29059683,2017
36536295,2022
19414484,2009
37315093,2023
27322543,2016
40874817,2025
36778051,2022
39294497,2024
17903294,2007
17660530,2007
29875488,2018
36376304,2022
35181757,2022
38565889,2024
37989062,2023
31809533,2019
33838163,2021
35884923,2022
32327693,2020
38408508,2024
29185836,2019
42009823,2026
37345113,2023
24699409,2014
38459180,2024
39067062,2024
31272903,2020
35831902,2022
29273807,2018
37844115,2023
38367033,2024
21378990,2011
36918541,2023
28548082,2017
30172743,2018
33311554,2020
27790247,2016
39142284,2024
29213071,2017
31015401,2019
25631608,2015
26961502,2016
22581228,2012
31504236,2019
32393786,2021
34757267,2021
34450027,2021
35396580,2022
40962958,2025
29563502,2018
21900290,2012
23480133,2013
35568031,2022
38890310,2024
40210677,2025
23423138,2013
19169254,2009
30576415,2019
35115690,2022
33649486,2021
31118516,2019
31959993,2020
36142332,2022
38711861,2024
31169883,2019
24204295,2013
22452962,2012
27764800,2016
27005825,2016
35697868,2022
33272962,2021
34532976,2022
35841873,2022
37280435,2023
21483845,2011
25042611,2014
37842648,2023
30206230,2018
39375568,2024
28165464,2017
30894546,2019
33106285,2021
36641522,2023
33731350,2021
31659325,2019
34506852,2022
19060910,2009
33110245,2021
32231276,2020
38714679,2024
33230300,2020
29912962,2018
22961000,2012
31453325,2019
35007327,2022
29777097,2018
25643325,2015
37787447,2023
27424798,2016
40593737,2025
40216759,2025
37247657,2023
35872910,2022
30158200,2018
40883272,2025
28196072,2017
26780889,2016
32424353,2020
30642433,2019
35113692,2022
40811855,2025
24999842,2014
